,trial,choice,reward,cumulative_reward,model_id
614,15,0,1,11,29257
615,16,0,1,12,29257
616,17,0,1,13,29257
617,18,1,0,13,29257
618,19,0,1,14,29257
619,20,0,1,15,29257
620,21,0,1,16,29257
621,22,0,1,17,29257
622,23,0,1,18,29257
623,24,0,1,19,29257
624,25,0,1,20,29257
625,26,0,1,21,29257
626,27,0,1,22,29257
627,28,0,1,23,29257
628,29,0,1,24,29257
629,30,0,1,25,29257
630,31,0,1,26,29257
631,32,0,1,27,29257
632,33,0,1,28,29257
633,34,0,1,29,29257
634,35,0,1,30,29257
635,36,0,1,31,29257
636,37,0,1,32,29257
637,38,0,1,33,29257
638,39,0,1,34,29257
639,40,0,1,35,29257
640,41,0,1,36,29257
641,42,0,1,37,29257
642,43,1,1,38,29257
643,44,0,1,39,29257
644,45,0,1,40,29257
645,46,1,0,40,29257
646,47,0,1,41,29257
647,48,0,1,42,29257
648,49,0,1,43,29257
649,50,0,1,44,29257
650,51,0,1,45,29257
651,52,0,1,46,29257
652,53,0,0,46,29257
653,54,0,0,46,29257
654,55,1,1,47,29257
655,56,0,0,47,29257
656,57,0,0,47,29257
657,58,0,0,47,29257
658,59,1,1,48,29257
659,60,1,1,49,29257
660,61,1,1,50,29257
661,62,1,1,51,29257
662,63,1,1,52,29257
663,64,1,1,53,29257
664,65,1,1,54,29257
665,66,1,1,55,29257
666,67,1,1,56,29257
667,68,1,1,57,29257
668,69,1,1,58,29257
669,70,1,1,59,29257
670,71,0,0,59,29257
671,72,1,1,60,29257
672,73,1,1,61,29257
673,74,1,1,62,29257
674,75,0,0,62,29257
675,76,1,1,63,29257
676,77,1,1,64,29257
677,78,1,1,65,29257
678,79,1,1,66,29257
679,80,1,1,67,29257
680,81,1,1,68,29257
681,82,1,1,69,29257
682,83,1,1,70,29257
683,84,1,1,71,29257
684,85,1,1,72,29257
685,86,1,1,73,29257
686,87,1,1,74,29257
687,88,1,1,75,29257
688,89,1,0,75,29257
689,90,1,1,76,29257
690,91,1,1,77,29257
691,92,1,1,78,29257
692,93,1,1,79,29257
693,94,1,1,80,29257
694,95,1,1,81,29257
695,96,1,1,82,29257
696,97,1,1,83,29257
697,98,1,1,84,29257
698,99,1,1,85,29257
699,100,1,1,86,29257
700,1,1,1,1,18290
701,2,0,1,2,18290
702,3,0,1,3,18290
703,4,1,1,4,18290
704,5,1,1,5,18290
705,6,0,1,6,18290
706,7,0,1,7,18290
707,8,0,1,8,18290
708,9,0,1,9,18290
709,10,1,1,10,18290
710,11,1,1,11,18290
711,12,1,1,12,18290
712,13,1,0,12,18290
713,14,0,1,13,18290
714,15,1,1,14,18290
715,16,1,0,14,18290
716,17,0,1,15,18290
717,18,0,1,16,18290
718,19,1,0,16,18290
719,20,0,1,17,18290
720,21,0,1,18,18290
721,22,0,1,19,18290
722,23,0,1,20,18290
723,24,0,1,21,18290
724,25,0,1,22,18290
725,26,0,1,23,18290
726,27,0,1,24,18290
727,28,1,0,24,18290
728,29,0,1,25,18290
729,30,0,1,26,18290
730,31,0,1,27,18290
731,32,0,1,28,18290
732,33,0,1,29,18290
733,34,0,1,30,18290
734,35,0,1,31,18290
735,36,0,1,32,18290
736,37,0,1,33,18290
737,38,0,1,34,18290
738,39,0,1,35,18290
739,40,0,1,36,18290
740,41,0,1,37,18290
741,42,1,0,37,18290
742,43,0,1,38,18290
743,44,0,1,39,18290
744,45,0,1,40,18290
745,46,0,1,41,18290
746,47,0,1,42,18290
747,48,1,0,42,18290
748,49,0,1,43,18290
749,50,0,1,44,18290
750,51,0,1,45,18290
751,52,0,1,46,18290
752,53,0,0,46,18290
753,54,0,0,46,18290
754,55,0,0,46,18290
755,56,1,1,47,18290
756,57,1,1,48,18290
757,58,1,1,49,18290
758,59,1,1,50,18290
759,60,0,1,51,18290
760,61,1,1,52,18290
761,62,0,0,52,18290
762,63,1,1,53,18290
763,64,1,1,54,18290
764,65,1,1,55,18290
765,66,1,1,56,18290
766,67,0,0,56,18290
767,68,1,1,57,18290
768,69,1,1,58,18290
769,70,0,1,59,18290
770,71,1,1,60,18290
771,72,1,1,61,18290
772,73,1,1,62,18290
773,74,1,1,63,18290
774,75,1,1,64,18290
775,76,1,1,65,18290
776,77,1,1,66,18290
777,78,1,1,67,18290
778,79,1,1,68,18290
779,80,0,0,68,18290
780,81,1,1,69,18290
781,82,1,1,70,18290
782,83,1,1,71,18290
783,84,1,1,72,18290
784,85,1,1,73,18290
785,86,1,1,74,18290
786,87,1,1,75,18290
787,88,1,1,76,18290
788,89,1,0,76,18290
789,90,1,1,77,18290
790,91,1,1,78,18290
791,92,1,1,79,18290
792,93,0,0,79,18290
793,94,1,1,80,18290
794,95,1,1,81,18290
795,96,1,1,82,18290
796,97,1,1,83,18290
797,98,1,1,84,18290
798,99,1,1,85,18290
799,100,1,1,86,18290
800,1,1,1,1,96531
801,2,0,1,2,96531
802,3,0,1,3,96531
803,4,0,0,3,96531
804,5,1,1,4,96531
805,6,1,0,4,96531
806,7,1,1,5,96531
807,8,0,1,6,96531
808,9,1,0,6,96531
809,10,1,1,7,96531
810,11,0,1,8,96531
811,12,0,1,9,96531
812,13,0,1,10,96531
813,14,0,1,11,96531
814,15,0,1,12,96531
815,16,0,1,13,96531
816,17,1,0,13,96531
817,18,0,1,14,96531
818,19,0,1,15,96531
819,20,0,1,16,96531
820,21,0,1,17,96531
821,22,0,1,18,96531
822,23,0,1,19,96531
823,24,0,1,20,96531
824,25,0,1,21,96531
825,26,1,1,22,96531
826,27,0,1,23,96531
827,28,0,1,24,96531
828,29,0,1,25,96531
829,30,0,1,26,96531
830,31,0,1,27,96531
831,32,0,1,28,96531
832,33,0,1,29,96531
833,34,0,1,30,96531
834,35,0,1,31,96531
835,36,0,1,32,96531
836,37,0,1,33,96531
837,38,0,1,34,96531
838,39,0,1,35,96531
839,40,0,1,36,96531
